lambda_eff,pacing,E_succ,S_ex_mean,n,n_success
0.0,Baseline,,0.0,800,0
0.5,Baseline,,0.0,800,0
1.0,Baseline,,0.0,800,0
2.0,Baseline,,0.0,800,0
0.0,Phase-bounded,0.8594801003764116,0.99625,800,797
0.5,Phase-bounded,0.861419633626098,0.99625,800,797
1.0,Phase-bounded,0.8629236381909547,0.995,800,796
2.0,Phase-bounded,0.8651007371069184,0.99375,800,795
0.0,Stochastic,1.0326089170854271,0.995,800,796
0.5,Stochastic,1.0347745326633166,0.995,800,796
1.0,Stochastic,1.0369937969735181,0.99125,800,793
2.0,Stochastic,1.040265677581864,0.9925,800,794
