lambda_eff,sf,pacing,E_succ,S_ex_mean,n,n_success
1,7,Phase-bounded,0.8625271741854637,0.9975,800,798
1,9,Phase-bounded,2.7994535,1.0,800,800
1,12,Phase-bounded,24.781364020058508,0.9970833333333333,2400,2393
1,7,Stochastic,0.9876789672131148,0.99125,800,793
1,9,Stochastic,3.2590864375,1.0,800,800
1,12,Stochastic,27.288897245409014,0.9983333333333333,2400,2396
2,7,Phase-bounded,0.8641922955974842,0.99375,800,795
2,9,Phase-bounded,2.8324425999999994,1.0,800,800
2,12,Phase-bounded,26.9017920119607,0.9754166666666667,2400,2341
2,7,Stochastic,0.9907230503144655,0.99375,800,795
2,9,Stochastic,3.285314525,1.0,800,800
2,12,Stochastic,29.174691691521094,0.9779166666666667,2400,2347
