environment,sf,variant,snr_db,rx_dbm,margin_db,noise_dbm,pathloss_db,payload_bytes_config,payload_bytes_effective,g2g_overhead_bytes,phy_payload_bytes_frag_avg,pk_fragments,ct_fragments,fragment_gap_ms,n_fragments_exchange,ok_frags,fail_frags,per_observed,tx_airtime_ms_total,airtime_ms_frag_avg,exchange_latency_s,energy_j_exchange,energy_j_exchange_tx,energy_j_exchange_rx,airtime_energy_tx,airtime_energy_rx,energy_per_fragment_tx,energy_per_fragment_rx,lambda_eff,is_on,attempts_total,attempts_on,attempts_off,attempts_off_fraction,lambda_eff_attempt_avg,per_fragment_avg,per_collision_sim_avg,per_collision_th_avg,per_channel_avg,per_total_avg,pacing_mode,sf_aware_pacing_threshold,retry_margin_db,rx_duty_cycle_enabled,rx_window_ms,rx_idle_ms,ack_batch_size,data_frames_tx,ack_frames_tx,frames_tx_total,ack_airtime_ms,ack_logical_failures,lost_ack_sleep,lost_ack_channel,ack_batch_retx_rounds,ack_per_channel_avg,ack_per_collision_avg,ack_per_total_avg,lost_rx_sleep_data,lost_rx_sleep_ack,per_exchange_fail,retransmissions_count
indoor,12,robust_stochastic_sf12,-3,-120.031,17,-117.031,0,20,20,1,21,6,9,84.1581,15,15,0,0,45170.7,1482.75,66.4391,29.3118,18.0683,11.2435,18.0683,11.2435,1.20455,0.74957,2,1,18,18,0,0,2,0.0944197,0.0944081,0.0944081,1.19671e-05,0.0944197,stochastic,7,1,1,2200,400,1,18,16,34,18481.2,1,0,1,1,1.19671e-05,0.0696477,0.0696589,0,0,0,2
indoor,12,robust_stochastic_sf12,-3,-120.031,17,-117.031,0,20,20,1,21,6,9,826.891,15,15,0,0,44015.6,1482.75,61.7995,28.0646,17.6062,10.4584,17.6062,10.4584,1.17375,0.697225,2,1,18,18,0,0,2,0.0885185,0.0885076,0.0885076,1.19671e-05,0.0885185,stochastic,7,1,1,2200,400,1,18,15,33,17326.1,0,0,0,0,1.19671e-05,0.0696477,0.0696589,0,0,0,3
indoor,12,robust_stochastic_sf12,-3,-120.031,17,-117.031,0,20,20,1,21,6,9,2038.8,15,15,0,0,45170.7,1482.75,71.4514,30.16,18.0683,12.0918,18.0683,12.0918,1.20455,0.806118,2,1,18,18,0,0,2,0.0944197,0.0944081,0.0944081,1.19671e-05,0.0944197,stochastic,7,1,1,2200,400,1,18,16,34,18481.2,1,0,1,1,1.19671e-05,0.0696477,0.0696589,0,0,0,2
indoor,12,robust_stochastic_sf12,-3,-120.031,17,-117.031,0,20,20,1,21,6,9,514.621,15,15,0,0,41050.1,1482.75,60.2662,26.6189,16.42,10.1989,16.42,10.1989,1.09467,0.679926,2,1,16,16,0,0,2,0.0885185,0.0885076,0.0885076,1.19671e-05,0.0885185,stochastic,7,1,1,2200,400,1,16,15,31,17326.1,0,0,0,0,1.19671e-05,0.0696477,0.0696589,0,0,0,1
indoor,12,robust_stochastic_sf12,-3,-120.031,17,-117.031,0,20,20,1,21,6,9,1422.97,15,15,0,0,44015.6,1482.75,64.3882,28.5027,17.6062,10.8965,17.6062,10.8965,1.17375,0.726431,2,1,18,18,0,0,2,0.0885185,0.0885076,0.0885076,1.19671e-05,0.0885185,stochastic,7,1,1,2200,400,1,18,15,33,17326.1,0,0,0,0,1.19671e-05,0.0696477,0.0696589,0,0,0,3
indoor,12,robust_stochastic_sf12,-3,-120.031,17,-117.031,0,20,20,1,21,6,9,2249.86,15,15,0,0,42205.2,1482.75,61.5243,27.2939,16.8821,10.4118,16.8821,10.4118,1.12547,0.694121,2,1,16,16,0,0,2,0.0944197,0.0944081,0.0944081,1.19671e-05,0.0944197,stochastic,7,1,1,2200,400,1,16,16,32,18481.2,1,0,1,1,1.19671e-05,0.0696477,0.0696589,0,0,0,0
indoor,12,robust_stochastic_sf12,-3,-120.031,17,-117.031,0,20,20,1,1.4,6,9,0,15,0,15,1,5603.33,98.8501,7.44569,3.50137,2.24133,1.26004,2.24133,1.26004,0.149422,0.0840027,2,1,3,3,0,0,2,0.00590123,0.00590051,0.00590051,7.9781e-07,0.00590123,stochastic,7,1,1,2200,400,1,3,1,4,1155.07,1,0,1,1,1.19671e-05,0.0696477,0.0696589,0,0,1,2
indoor,12,robust_stochastic_sf12,-3,-120.031,17,-117.031,0,20,20,1,21,6,9,1258.24,15,15,0,0,39567.4,1482.75,54.1601,24.9925,15.8269,9.16555,15.8269,9.16555,1.05513,0.611037,2,1,15,15,0,0,2,0.0885185,0.0885076,0.0885076,1.19671e-05,0.0885185,stochastic,7,1,1,2200,400,1,15,15,30,17326.1,0,0,0,0,1.19671e-05,0.0696477,0.0696589,0,0,0,0
indoor,12,robust_stochastic_sf12,-3,-120.031,17,-117.031,0,20,20,1,21,6,9,2203.93,15,15,0,0,42532.9,1482.75,64.0047,27.8447,17.0131,10.8316,17.0131,10.8316,1.13421,0.722105,2,1,17,17,0,0,2,0.0885185,0.0885076,0.0885076,1.19671e-05,0.0885185,stochastic,7,1,1,2200,400,1,17,15,32,17326.1,0,0,0,0,1.19671e-05,0.0696477,0.0696589,0,0,0,2
indoor,12,robust_stochastic_sf12,-3,-120.031,17,-117.031,0,20,20,1,21,6,9,636.603,15,15,0,0,43687.9,1482.75,61.0222,27.802,17.4752,10.3268,17.4752,10.3268,1.16501,0.688456,2,1,17,17,0,0,2,0.0944197,0.0944081,0.0944081,1.19671e-05,0.0944197,stochastic,7,1,1,2200,400,1,17,16,33,18481.2,1,0,1,1,1.19671e-05,0.0696477,0.0696589,0,0,0,1
